"key","config_id","sigma_ps","se_psi_obs","K","ex_violation","psi","mu_b","bf_true","true_zone","method","bias","rmse","sd","coverage","ci_width"
"cfg1_psi-0.18_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.25,0.581395348837209,"bias-dominated","mc",0.00949041661284571,0.098337456195903,0.0979274070965653,0.481,0.124522423961605
"cfg1_psi-0.18_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.25,0.581395348837209,"bias-dominated","mcmc",0.00854882877202453,0.0929727337515522,0.0926251918974403,0.98,0.423426570148052
"cfg1_psi-0.18_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.2,0.526315789473684,"bias-dominated","mc",0.0134292225119351,0.104981014306401,0.104170633426096,0.526,0.14531983310688
"cfg1_psi-0.18_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.2,0.526315789473684,"bias-dominated","mcmc",0.0114099116130091,0.0991123250304656,0.0985026378306061,0.989,0.481633851368761
"cfg1_psi-0.18_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.15,0.454545454545455,"mixed","mc",0.013023535843236,0.11514661523359,0.114464984806005,0.559,0.170033245177505
"cfg1_psi-0.18_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.15,0.454545454545455,"mixed","mcmc",0.0119645762997783,0.107968998396708,0.107357716108173,0.996,0.555088028197022
"cfg1_psi-0.18_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.1,0.357142857142857,"mixed","mc",0.0163385516610146,0.11528095274496,0.114174364815343,0.666,0.202627816441334
"cfg1_psi-0.18_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.1,0.357142857142857,"mixed","mcmc",0.0160693683719675,0.106516806921671,0.105350388044732,0.998,0.631566162452837
"cfg1_psi-0.18_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.05,0.217391304347826,"effect-dominated","mc",0.0159548154059515,0.118308500048188,0.117286406502051,0.793,0.245615349080465
"cfg1_psi-0.18_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.18,-0.05,0.217391304347826,"effect-dominated","mcmc",0.0209738700925594,0.100206723233448,0.098036193570411,1,0.620680742954186
"cfg1_psi-0.14_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.4,0.740740740740741,"bias-dominated","mc",0.0119673132625409,0.0934144688512727,0.0926910893348637,0.392,0.0997465104272686
"cfg1_psi-0.14_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.4,0.740740740740741,"bias-dominated","mcmc",0.00900955801519964,0.0875028745332525,0.0870813647115898,0.937,0.32125660420442
"cfg1_psi-0.14_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.35,0.714285714285714,"bias-dominated","mc",0.0135646786173768,0.0967661990020915,0.095858675397528,0.412,0.109433636263087
"cfg1_psi-0.14_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.35,0.714285714285714,"bias-dominated","mcmc",0.0099492910188974,0.0909835597153538,0.0904831860273073,0.962,0.35645905130623
"cfg1_psi-0.14_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.3,0.681818181818182,"bias-dominated","mc",0.00598506584207964,0.105661127884454,0.105544268083141,0.442,0.124071556810562
"cfg1_psi-0.14_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.3,0.681818181818182,"bias-dominated","mcmc",0.00247723941688178,0.0984708699954933,0.0984889618086155,0.961,0.39488147164303
"cfg1_psi-0.14_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.25,0.641025641025641,"bias-dominated","mc",0.0136102757975316,0.116838201606869,0.11610084044741,0.455,0.13724688057869
"cfg1_psi-0.14_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.25,0.641025641025641,"bias-dominated","mcmc",0.0103919638415171,0.108335495331848,0.107889883043669,0.962,0.446215054554668
"cfg1_psi-0.14_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.14,-0.2,0.588235294117647,"bias-dominated","mc",0.0221154937963599,0.127873732956871,0.126009821003991,0.482,0.162761774153666
