"key","config_id","sigma_ps","K","ex_violation","psi","mu_b","bf_true","true_zone","Mean_BF_mc","ci_lo_mc","ci_hi_mc","Mean_BF_mcmc","ci_lo_mcmc","ci_hi_mcmc"
"cfg2_psi-0.4_mu-0.3_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.4,-0.3,0.428571428571428,"mixed",0.435718245910735,0.396629576863406,0.474978943172863,0.434747677185383,0.301126944075679,0.567503778257889
"cfg2_psi-0.4_mu-0.4_sps0.1","sps0.1_K12_exV0",0.1,12,0,-0.4,-0.4,0.5,"mixed",0.50857257500509,0.473685978077942,0.543539629510151,0.507776759377613,0.391306874612697,0.624413799265748
"cfg3_psi0_mu-0.05_sps0.06","sps0.06_K25_exV0",0.06,25,0,0,-0.05,1,"bias-dominated",0.566216582058091,0.399912299507816,0.701430012823446,0.540626272102202,0.136731547197711,0.814813184876682
"cfg3_psi0_mu-0.1_sps0.06","sps0.06_K25_exV0",0.06,25,0,0,-0.1,1,"bias-dominated",0.699242240236591,0.59694416685607,0.79178711825853,0.68138133339102,0.426398313696156,0.884148151963431
"cfg3_psi0_mu-0.15_sps0.06","sps0.06_K25_exV0",0.06,25,0,0,-0.15,1,"bias-dominated",0.771229322589607,0.69089555482072,0.844349247780923,0.757311252663853,0.562934884999359,0.920095161307528
"cfg3_psi0_mu-0.2_sps0.06","sps0.06_K25_exV0",0.06,25,0,0,-0.2,1,"bias-dominated",0.81975006791626,0.752842900104549,0.879407062720626,0.807584344448685,0.652810717864396,0.941000285754109
"cfg3_psi0_mu-0.3_sps0.06","sps0.06_K25_exV0",0.06,25,0,0,-0.3,1,"bias-dominated",0.865174581327144,0.815410953894577,0.909951646740746,0.85707178089645,0.739245888682533,0.956573225295038
"cfg3_psi0_mu-0.4_sps0.06","sps0.06_K25_exV0",0.06,25,0,0,-0.4,1,"bias-dominated",0.897016242393374,0.857602055151913,0.93194638457527,0.890957285927887,0.79672211364129,0.968176656704346
"cfg3_psi-0.05_mu-0.05_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.05,-0.05,0.5,"mixed",0.50554524587525,0.328173276781342,0.660571277556654,0.486833753468351,0.0899966772465773,0.821681180271273
"cfg3_psi-0.05_mu-0.1_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.05,-0.1,0.666666666666667,"bias-dominated",0.647477544454313,0.532793842638347,0.751670932104864,0.633720350586417,0.339596104381499,0.870892562138049
"cfg3_psi-0.05_mu-0.15_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.05,-0.15,0.75,"bias-dominated",0.728952431894261,0.639686467342804,0.811027764373165,0.718528172745471,0.489995667102212,0.903747903481715
"cfg3_psi-0.05_mu-0.2_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.05,-0.2,0.8,"bias-dominated",0.773947342781876,0.700125089512471,0.840000179109279,0.76553769196331,0.582736410533186,0.91606059969724
"cfg3_psi-0.05_mu-0.3_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.05,-0.3,0.857142857142857,"bias-dominated",0.836254187944783,0.781416374165074,0.885586651877822,0.829881589114578,0.695406472314642,0.939130212604924
"cfg3_psi-0.05_mu-0.4_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.05,-0.4,0.888888888888889,"bias-dominated",0.871816109736325,0.829560944973189,0.909768675304875,0.866146930732224,0.760665946890543,0.951754940447228
"cfg3_psi-0.1_mu-0.05_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.1,-0.05,0.333333333333333,"mixed",0.376273192207246,0.230611859219919,0.514438795809376,0.371166556582158,0.0525428465305078,0.704764889015391
"cfg3_psi-0.1_mu-0.1_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.1,-0.1,0.5,"mixed",0.539020738517848,0.432866004653134,0.638415063645445,0.532976859562392,0.256683017059597,0.772691498916309
"cfg3_psi-0.1_mu-0.15_sps0.06","sps0.06_K25_exV0",0.06,25,0,-0.1,-0.15,0.6,"bias-dominated",0.624886069299554,0.541860070313522,0.703619950168502,0.62044853171474,0.402871883036132,0.815523359932567
