psi_f,mu_f,bf_hat_bin,n,med,q1,q3,loa_lo,loa_hi
-0.05,-0.3,"[0.7, 0.8)",1918,-0.107205397519923,-0.130718156363715,-0.0818103720679341,-0.154889913498969,-0.0599615097902644
-0.05,-0.3,"[0.8, 0.9)",1832,-0.00980182066508462,-0.0330162934114615,0.0166182137489219,-0.0553844350402226,0.0399169951172158
-0.05,-0.3,"[0.9, 1.0)",1588,0.0883704301479855,0.0650019422124155,0.115507194050213,0.0451111579297041,0.139182178381922
-0.05,-0.3,"[0.6, 0.7)",1643,-0.203370630318128,-0.228348518946434,-0.180477201208994,-0.254224017992842,-0.159483852990923
-0.05,-0.3,"[0.5, 0.6)",825,-0.296234686703724,-0.321871627014753,-0.275806264502937,-0.353680183592947,-0.259224237297925
-0.05,-0.3,"[0.4, 0.5)",180,-0.38541088498142,-0.413543424321075,-0.367983170484314,-0.44350275222195,-0.358112536452638
-0.05,-0.4,"[0.9, 1.0)",2132,0.0594405155589357,0.0344667086602538,0.0842065588384441,0.0138864168030943,0.108495276014791
-0.05,-0.4,"[0.8, 0.9)",2414,-0.0408922207485367,-0.0650455688636308,-0.0151685016807447,-0.086845156226913,0.00777845800021558
-0.05,-0.4,"[0.7, 0.8)",2053,-0.136815735513103,-0.159829513335403,-0.112516621795798,-0.185468790920356,-0.0911349180629593
-0.05,-0.4,"[0.6, 0.7)",1140,-0.227589956556243,-0.252387224588016,-0.206911211364531,-0.284412055907845,-0.19078714279907
-0.1,-0.05,"[0.4, 0.5)",589,0.110182862546957,0.0858339994975351,0.138061992227314,0.0695309036777038,0.163762800168112
