"score","x_bd","y_bd","x_ed","y_ed"
"Calibrated P alone",0.203719298245614,0.631099206349206,0.508717948717949,0.845722222222222
"Calibrated P alone",0.200883771929825,0.627293650793651,0.512191025641026,0.848511111111111
"Calibrated P alone",0.198155701754386,0.623392857142857,0.515666666666667,0.851283333333333
"Calibrated P alone",0.195396929824561,0.619517857142857,0.519194871794872,0.853833333333333
"Calibrated P alone",0.192690789473684,0.615595238095238,0.522734615384615,0.856333333333333
"Calibrated P alone",0.189929824561404,0.611722222222222,0.526198717948718,0.859161111111111
"Calibrated P alone",0.187260964912281,0.607767857142857,0.529697435897436,0.861833333333333
"Calibrated P alone",0.184697368421053,0.60371626984127,0.533261538461538,0.864227777777778
"Calibrated P alone",0.182151315789474,0.59964880952381,0.536825641025641,0.866622222222222
"Calibrated P alone",0.179482456140351,0.595694444444444,0.540342307692308,0.869216666666667
"Calibrated P alone",0.176914473684211,0.591646825396825,0.543889743589744,0.871683333333333
"Calibrated P alone",0.174392543859649,0.58755753968254,0.547453846153846,0.874077777777778
"Calibrated P alone",0.171885964912281,0.583456349206349,0.55104358974359,0.876355555555556
"Calibrated P alone",0.169309210526316,0.579416666666667,0.554583333333333,0.878855555555556
"Calibrated P alone",0.166782894736842,0.575331349206349,0.558147435897436,0.88125
"Calibrated P alone",0.164247807017544,0.571253968253968,0.561715384615385,0.883627777777778
"Calibrated P alone",0.161809210526316,0.56709126984127,0.565298717948718,0.885933333333333
"Calibrated P alone",0.159372807017544,0.562924603174603,0.568882051282051,0.888244444444444
"Calibrated P alone",0.157,0.558700396825397,0.572502564102564,0.890394444444444
"Calibrated P alone",0.154627192982456,0.554478174603175,0.576132051282051,0.8925
"Calibrated P alone",0.152276315789474,0.550234126984127,0.579726923076923,0.894761111111111
"Calibrated P alone",0.149877192982456,0.54603373015873,0.583347435897436,0.896911111111111
"Calibrated P alone",0.147526315789474,0.541791666666667,0.58695641025641,0.899105555555556
"Calibrated P alone",0.145328947368421,0.53740873015873,0.590630769230769,0.901022222222222
"Calibrated P alone",0.143026315789474,0.533121031746032,0.594274358974359,0.903072222222222
"Calibrated P alone",0.140774122807018,0.528787698412698,0.59791282051282,0.905144444444444
"Calibrated P alone",0.138478070175439,0.524496031746032,0.601534615384615,0.907283333333333
"Calibrated P alone",0.136188596491228,0.520196428571429,0.605180769230769,0.909322222222222
"Calibrated P alone",0.133975877192982,0.515827380952381,0.608851282051282,0.911255555555556
"Calibrated P alone",0.131745614035088,0.51147619047619,0.612538461538462,0.913111111111111
"Calibrated P alone",0.129510964912281,0.507126984126984,0.616208974358974,0.915044444444444
"Calibrated P alone",0.12743201754386,0.502636904761905,0.619930769230769,0.916755555555556
"Calibrated P alone",0.125399122807018,0.498107142857143,0.623652564102564,0.918461111111111
"Calibrated P alone",0.123315789473684,0.493621031746032,0.627347435897436,0.920288888888889
"Calibrated P alone",0.121274122807018,0.489097222222222,0.631058974358974,0.922044444444444
"Calibrated P alone",0.119291666666667,0.484521825396825,0.63478717948718,0.923722222222222
"Calibrated P alone",0.117239035087719,0.480007936507936,0.638514102564103,0.925411111111111
"Calibrated P alone",0.115118421052632,0.475555555555556,0.642214102564103,0.927216666666667
"Calibrated P alone",0.113094298245614,0.471015873015873,0.645946153846154,0.928883333333333
"Calibrated P alone",0.111195175438596,0.466365079365079,0.649673076923077,0.930566666666667
"Calibrated P alone",0.109353070175439,0.461660714285714,0.65340641025641,0.932227777777778
"Calibrated P alone",0.107407894736842,0.457049603174603,0.65714358974359,0.933872222222222
